stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Leon\source\repos\JogoEmAllegro\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Leon\source\repos\JogoEmAllegro\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.9
dtor     D               dtor.c:196  _al_register_destructor          [   0.00049] added dtor for bitmap 00000280C9553030, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00117] added dtor for bitmap 00000280C9553220, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00499] added dtor for bitmap 00000280C9591270, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00521] added dtor for sub_bitmap 00000280C95C4AC0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00525] added dtor for sub_bitmap 00000280C95C4CB0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00529] added dtor for sub_bitmap 00000280C95C4EA0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00532] added dtor for sub_bitmap 00000280C95C5090, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00536] added dtor for sub_bitmap 00000280C95C5280, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00539] added dtor for sub_bitmap 00000280C95C5470, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00543] added dtor for sub_bitmap 00000280C95C5660, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00546] added dtor for sub_bitmap 00000280C95C5850, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00550] added dtor for sub_bitmap 00000280C95C5A40, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00553] added dtor for sub_bitmap 00000280C95C5C30, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00557] added dtor for sub_bitmap 00000280C95C5E20, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00561] added dtor for sub_bitmap 00000280C95C6010, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00564] added dtor for sub_bitmap 00000280C95C6200, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00568] added dtor for sub_bitmap 00000280C95C63F0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00572] added dtor for sub_bitmap 00000280C95C73C0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00576] added dtor for sub_bitmap 00000280C95C6630, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00579] added dtor for sub_bitmap 00000280C95C6A10, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00582] added dtor for sub_bitmap 00000280C95C6C00, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00586] added dtor for sub_bitmap 00000280C95C6DF0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00589] added dtor for sub_bitmap 00000280C95C71D0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00600] added dtor for sub_bitmap 00000280C95C6820, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00605] added dtor for sub_bitmap 00000280C95C6FE0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00609] added dtor for sub_bitmap 00000280C95C85C0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00613] added dtor for sub_bitmap 00000280C95C7FF0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00616] added dtor for sub_bitmap 00000280C95C9350, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00619] added dtor for sub_bitmap 00000280C95C81E0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00623] added dtor for sub_bitmap 00000280C95C7A20, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00626] added dtor for sub_bitmap 00000280C95C7640, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00630] added dtor for sub_bitmap 00000280C95C83D0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00633] added dtor for sub_bitmap 00000280C95C7C10, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00636] added dtor for sub_bitmap 00000280C95C87B0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00640] added dtor for sub_bitmap 00000280C95C8D80, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00645] added dtor for sub_bitmap 00000280C95C7E00, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00648] added dtor for sub_bitmap 00000280C95C89A0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00652] added dtor for sub_bitmap 00000280C95C8B90, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00655] added dtor for sub_bitmap 00000280C95C8F70, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00658] added dtor for sub_bitmap 00000280C95C9160, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00662] added dtor for sub_bitmap 00000280C95C7830, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00666] added dtor for sub_bitmap 00000280C95CBA50, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00670] added dtor for sub_bitmap 00000280C95CBC40, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00673] added dtor for sub_bitmap 00000280C95CC210, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00677] added dtor for sub_bitmap 00000280C95CC5F0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00680] added dtor for sub_bitmap 00000280C95CD380, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00684] added dtor for sub_bitmap 00000280C95CC7E0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00687] added dtor for sub_bitmap 00000280C95CC9D0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00690] added dtor for sub_bitmap 00000280C95CCBC0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00694] added dtor for sub_bitmap 00000280C95CC400, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00697] added dtor for sub_bitmap 00000280C95CCDB0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00701] added dtor for sub_bitmap 00000280C95CBE30, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00705] added dtor for sub_bitmap 00000280C95CCFA0, func 00007FFC70BE118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00708] added dtor for sub_bitmap 00000280C95CD190, func 00007FFC70BE118B
